idArea,nombre_area,descripcion,id_subarea
339,Metodos de Busqueda heuristica o solucion de problemas,"En computacion, dos objetivos fundamentales son encontrar algoritmos con buenos tiempos de ejecucion y buenas soluciones, usualmente las �ptimas. Una heur�stica es un algoritmo que abandona uno o ambos objetivos; por ejemplo, normalmente encuentran buenas soluciones, aunque no hay pruebas de que la solucion no pueda ser arbitrariamente err�nea en algunos casos; o se ejecuta razonablemente r�pido, aunque no existe tampoco prueba de que siempre ser� as�. Las heur�sticas generalmente son usadas cuando no existe una solucion �ptima bajo las restricciones dadas (tiempo, espacio, etc.), o cuando no existe del todo.
A menudo, pueden encontrarse instancias concretas del problema donde la heur�stica producir� resultados muy malos o se ejecutar� muy lentamente. Aun as�, estas instancias concretas pueden ser ignoradas porque no deberian ocurrir nunca en la pr�ctica por ser de origen te�rico. Por tanto, el uso de heur�sticas es muy com�n en el mundo real.",
340,Sistemas de apoyo a la docencia,'',
341,Accesibilidad audiovisual web,'',
343,Compiladores e interpretadores,"Sub area de compiladores e interpretadores

",
344,Analisis y filtrado,'',
345,Interpretes y compiladores,'',
346,Ambientes automatizados de apoyo para construccion de productos de software,'',
347,Medios de Comunicacion Digitales,'',
348,Sistemas de gestion de calidad de produccion.,'',
349,Investigacion,'',
350,Hidrologia,'',
351,Recuperacion de la Informacion,'',
352,Automatizacion,"Sistema tecnol�gico basado en la ingenieria y la inform�tica, que proporciona una optimizacion de los procesos productivos mediante la regulacion autom�tica.",
353,Redes de telecomunicaiones,'',
354,Punto de Venta,'',
355,Simulacion de Sistemas,'',
356,Disenio de Aerogeneradores,'',
357,Ambientes automatizados de apoyo para productos de construccion de software ,'',
358,Ingenieria de yacimientos,"La ingenieria de yacimientos es la parte fundamental de la ingenieria de petr�leo, aplicando conocimientos cient�ficos, permite  una explotacion racional de las acumulaciones de hidrocarburos, para obtener su m�xima recuperacion al menor costo ",
359,Data Science,,
360,Procesamiento Informacion de Redes Sociales,,359
361,Sistema Multimedia,,10
362,Sistemas Virtuales,'',
363,"Comunicacion de datos, Sistemas de tiempo real, Intranet/Internet",'',
364,E-Learning,'',
365,Modelo relacional de base de datos,'',
366,Aplicacion Web,'',
367,Protocolos de acceso a directorio,'',
368,Sistema de Informacion Gerencial,'',6
369,Automatizacion,'',
370,H.C.I,'',
371,"Telefonia Movil, M-Payment, Modem Gateway",'',
372,Juegos Didacticos,'',
373,Programacion y Aplicacion web,'',
374,Computacion Paralela,'',
375,Sem�ntica de datos,'',
376,Interaccion persona-computador para educacion,'',
377,Composicion Algoritmica,'',
378,Servidor OwnCloud,'',
379,Redes de telecomunicaciones,'',
380,Software para dispositivos Moviles,"desarrollo de software para dispositivos moviles  usando metodos, tecnicas y teorias de ingeniera de software.",
381,Administracion de inventarios,'',
382,Aplicacion movil,"Aplicacion movil para el manejo de inventarios
",
383,Tecnologias Web,'',
384,Comunicacion en Tiempo Real,Tecnologias web que permiten comunicacion en tiempo real.,
385,TICs en la educacion,'',
386,Computacion y Sociedad,'',
387,Ejercitacion y Pr�ctica,'',
388,Planificacion y Organizacion Empresarial,'',
389,Gestion Estrat�gica de Empresas,'',
390,T�cnologias de Informacion Educativa,Sistemas de informacion dedicada al estudio y apoyo a la educacion mediante un sistema de informacion. ,
391,Tecnologias de Informacion Educativa,'',
392,Taller de Programacion a Bajo Nivel,'',
393,Aplicacion de Sistemas Operativos,'',
394,procesamiento de imagenes digitales,'',
395,Administrador de archivos,"Sistema especializado en la administracion de documentacion, a partir de la cual se crea un repositorio, el que podr� ser accedido, compartido, eliminado seg�n la necesidad o requerimientos del administrador o usuarios",
396,Sistemas basados en conocimiento,'',
397,Ling��stica  Computacional,'',
398,Programacion y Algoritmos,'',
399,Sistemas de Telecomunicacion,'',
400,Mineria de datos ,'',
401,Aplicacion Movil,'',
402,Inform�tica de la salud,'',
403,TICs aplicadas a la Educacion,'',
404,Programacion Web reactiva,'',
405,Gestion y planificacion de empresas,'',
406,Television Digital,'',
407,Modelos de proceso,'',
408,Gestion de empresas,'',
409,Internet,'',
410,Sistemas Distribuidos,'',
411,Desarrollo de Software,Herramientas y recursos que son utilizados en el proceso de fabricacion de software,
412,APIs para interfaz de usuario,Interfaz de usuario,411
413,Tecnologia de Informacion y Comunicacion (TIC) de la educacion,'',
414,Sistemas de Informacion Web,Desarrollo de sistemas web,
415,TICs de la educacion,'',
416,Tecnologia de Apoyo a Estadistica,'',
417,Administracion y gestion de proyectos,'',
418,Aplicacion M�vil,'',
419,modelacion de sistemas,'',
420,e-learning,El e-learning consiste en la educacion y capacitacion a trav�s de Internet. Este tipo de enseianza online permite la interaccion del usuario con el material mediante la utilizacion de diversas herramientas inform�ticas.,
421,Desarrollo de videojuegos,'',
422,Enrutamiento,La funcion de enrutamiento es una funcion de la Capa 3 del modelo OSI. El enrutamiento es un esquema de organizacion jer�rquico que permite que se agrupen direcciones individuales. Estas direcciones individuales son tratadas como unidades �nicas hasta que se necesita la direccion destino para la entrega final de los datos. El enrutamiento es el proceso de hallar la ruta m�s eficiente desde un dispositivo a otro. El dispositivo primario que realiza el proceso de enrutamiento es el Router.,
423,Ling��stica Computacional  ,'',
424,Disenio,Patrones de disenio,
425,Sistemas Control de Procesos,'',
